date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:17:24	4083/4083	U-----	200	untouched ('')	image/png	etag:%22ff3-5a919d6950af6%22	https://sparkden.com/wp-content/uploads/2020/06/icons8-no-gluten-96.png	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/uploads/2020/06/icons8-no-gluten-96.png	(from https://sparkden.com/about/)
21:17:26	3232/3232	U-----	200	untouched ('')	image/png	etag:%22ca0-5a919d69f678e%22	https://sparkden.com/wp-content/uploads/2020/06/icons8-no-nuts-96.png	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/uploads/2020/06/icons8-no-nuts-96.png	(from https://sparkden.com/about/)
21:17:27	42908/42908	U--MC-	200	updated ('OK')	application/json	date:Wed,%2016%20Sep%202020%2007:17:26%20GMT	https://sparkden.com/wp-json/wp/v2/pages/186	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-json/wp/v2/pages/186.json	(from https://sparkden.com/solutions/)
21:17:29	1470/1470	U-----	200	untouched ('')	image/png	etag:%225be-5a919d6a87fe5%22	https://sparkden.com/wp-content/uploads/2020/06/icons8-sell-stock-96.png	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/uploads/2020/06/icons8-sell-stock-96.png	(from https://sparkden.com/about/)
21:17:33	3323/3323	U-----	200	untouched ('')	image/png	etag:%22cfb-5a6fbd0073297%22	https://sparkden.com/wp-content/uploads/2020/06/My-Skills-About-Page-.png	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/uploads/2020/06/My-Skills-About-Page-.png	(from https://sparkden.com/about/)
21:18:06	42558/42558	U-----	200	untouched ('OK')	text/css	date:Mon,%2031%20Aug%202020%2022:55:07%20GMT	https://sparkden.com/wp-content/et-cache/186/et-core-unified-tb-230232-tb-229677-186-15989145071045.min.css	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/et-cache/186/et-core-unified-tb-230232-tb-229677-186-15989145071045.min.css	(from https://sparkden.com/solutions/)
21:18:13	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Sep%202020%2007:17:28%20GMT	https://sparkden.com/?p=186	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/index146c.html	(from https://sparkden.com/solutions/)
21:18:29	2153/2153	U--MC-	200	updated ('OK')	application/json	date:Wed,%2016%20Sep%202020%2007:17:28%20GMT	https://sparkden.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fsparkden.com%2Fsolutions%2F	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-json/oembed/1.0/embedf695.json	(from https://sparkden.com/solutions/)
21:18:29	2231/2231	U--MC-	200	updated ('OK')	text/xml	date:Wed,%2016%20Sep%202020%2007:17:31%20GMT	https://sparkden.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fsparkden.com%2Fsolutions%2F&format=xml	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-json/oembed/1.0/embedc396	(from https://sparkden.com/solutions/)
21:18:39	321/321	U-----	200	untouched ('OK')	text/css	etag:%22141-5ae344b3b8bfc-gzip%22	https://sparkden.com/wp-content/et-cache/186/et-core-unified-186-15989145071045.min.css	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/et-cache/186/et-core-unified-186-15989145071045.min.css	(from https://sparkden.com/solutions/)
21:18:39	708119/708119	U-----	200	untouched ('')	image/png	etag:%22ace17-5a9717a9aee19%22	https://sparkden.com/wp-content/uploads/2020/07/sec-03.png	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/uploads/2020/07/sec-03.png	(from https://sparkden.com/solutions/)
21:18:39	743518/743518	U-----	200	untouched ('')	image/png	etag:%22b585e-5a9717a60124b%22	https://sparkden.com/wp-content/uploads/2020/07/sec-02.png	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/uploads/2020/07/sec-02.png	(from https://sparkden.com/solutions/)
21:18:39	582323/582323	U-----	200	untouched ('')	image/png	etag:%228e2b3-5a9717a202967%22	https://sparkden.com/wp-content/uploads/2020/07/sec-01.png	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/uploads/2020/07/sec-01.png	(from https://sparkden.com/solutions/)
